1101;
1;Ibis Hotel;1;90;Ashley;15-Oct-15;4;Silva;11-Apr-16;4;Hayes;18-Nov-16;8;Mcneil;18-Aug-15;9;Nixon;06-Jul-16;7;Warren;04-Feb-17;8;Roth;20-Oct-15;3;Cherry;08-Jun-15;10;Pennington;21-Dec-16;8;Monroe;04-Apr-17;8;Herman;21-Mar-17;7;Meyer;28-Jul-15;2;Sawyer;24-Mar-16;3;Park;17-Aug-16;9;Chavez;03-Dec-15;7;Cash;17-Feb-17;7
2;Novotel;1;75;Rios;30-Jul-16;8;Vasquez;16-Sep-15;10;Simmons;19-Oct-15;9;Collins;04-Feb-17;3;Chambers;06-May-16;10;Baxter;31-Jan-17;3;Howe;24-Feb-16;7;Solomon;26-Mar-17;6;Bradley;21-Aug-16;9;Dillard;25-Sep-15;6;Travis;24-Feb-16;5;Castaneda;11-Oct-15;7;Velazquez;21-Nov-15;7;Mcneil;24-Jun-16;3;Oneil;22-Mar-17;10;Cross;05-Mar-16;5
5;Travel Inn;5;74;Levy;04-Apr-17;3;Copeland;17-Apr-15;10;Mullins;17-Jan-16;7;Duran;30-Jul-16;5;Fox;11-Nov-16;8;Ford;07-Aug-16;5;Shepherd;09-Mar-17;9;Noble;28-Apr-16;4;Nieves;24-Sep-16;5;Huffman;13-Mar-17;8;Foley;14-Dec-16;2;Hoffman;17-Jan-17;10;Steele;11-Dec-15;2;Todd;02-Apr-16;7;Franklin;26-Dec-15;4;Garrett;04-Apr-17;10
7;Ibis Hotel;1;90;Gates;14-May-16;8;Donaldson;08-May-16;9;Contreras;27-Jul-15;1;Mann;09-Nov-15;5;Carey;26-Nov-15;6;Matthews;14-Apr-15;2;Lynn;07-Jan-16;3;Berry;23-Dec-15;2;Atkinson;04-Dec-16;1;Kemp;01-Sep-16;8;Nieves;26-Aug-16;5;Castaneda;03-Sep-16;5;Lopez;18-Oct-15;7;Glover;17-Jan-17;6;Shepherd;03-Mar-17;9;Mcmahon;08-Dec-16;4
8;Novotel;4;53;Stewart;09-Nov-16;2;Hobbs;12-Aug-15;10;Willis;27-Oct-15;7;Powers;22-Sep-15;10;Love;27-Apr-16;3;Randolph;18-Dec-16;6;Christian;28-Feb-16;4;Burnett;12-Mar-17;5;Knight;24-Aug-15;5;Battle;25-Jul-15;2;Barr;09-Jan-17;3;Shepard;20-Jun-15;2;Guy;09-Apr-16;3;Nolan;15-Jun-15;1;Klein;24-Mar-17;5;Caldwell;10-Dec-16;7
9;Mandarin Oriental;4;53;Sharpe;14-May-16;8;Whitney;17-Dec-15;6;Cherry;23-Jan-17;6;Jennings;16-Apr-16;8;Mosley;10-Nov-15;9;Solis;27-Aug-16;4;Hahn;20-Mar-16;1;Pruitt;23-Jan-17;3;Chandler;22-Aug-15;7;Henderson;11-Aug-16;5;Willis;08-Aug-15;6;Spence;17-Mar-16;6;Matthews;23-Jul-15;10;Hudson;02-Feb-17;3;Copeland;02-Dec-16;5;Mendez;17-Jun-16;6
10;Norfolk Plaza Hotel;1;90;Singleton;29-Aug-16;5;Padilla;09-Mar-16;3;Wilder;24-Jan-17;3;Klein;18-Dec-16;2;Sims;04-Aug-16;3;Mendez;22-Nov-16;2;Ray;17-Feb-17;6;Waller;23-Dec-16;8;Pope;07-Nov-15;9;Silva;30-Nov-16;8;Cleveland;15-Nov-16;9;Shelton;12-Dec-16;6;Guthrie;25-May-16;6;Downs;18-Nov-16;7;Leblanc;20-Jul-16;2;Suarez;06-Apr-17;6
11;The Blakemore Hotel;2;88;Huff;11-Jul-15;6;Navarro;20-Apr-16;4;Gross;07-Sep-15;9;Chen;29-May-16;4;Kerr;22-Dec-15;10;James;22-May-16;10;Petty;02-Apr-16;3;Golden;01-Nov-15;1;Christian;19-Apr-16;6;Meyers;19-Dec-15;1;Ross;18-May-16;7;Watkins;04-Dec-15;5;Chambers;08-Jul-16;8;Brewer;20-Aug-16;9;Mcbride;25-Mar-16;1;Kennedy;22-Sep-15;6
12;Kensington Rooms;3;74;Garza;28-Feb-16;6;Francis;26-Sep-16;2;Workman;17-Mar-17;4;Malone;01-Jul-16;7;Harris;19-Sep-16;10;Steele;11-Apr-15;8;Kelly;24-Jan-17;6;Howe;10-Jan-17;7;Weaver;18-Dec-15;3;Bond;28-Jun-15;1;Jacobs;24-Oct-15;6;Cochran;05-Sep-16;10;Pope;08-Nov-16;7;Mcdaniel;08-Apr-16;5;Walker;07-Oct-15;3;Hall;27-Nov-16;4
14;The Bingham Hotel on Thames;4;80;Burgess;18-Jun-15;9;Blevins;11-Mar-16;5;Leonard;12-May-15;5;Mccormick;30-Mar-17;4;Dyer;24-May-16;3;Case;14-Nov-16;2;Morrow;28-May-16;8;Delgado;02-Jan-17;7;Vaughan;17-Mar-17;8;Taylor;08-Jun-16;2;Green;12-Nov-15;3;Horn;27-Jul-15;7;York;16-Feb-17;6;Richardson;18-Oct-16;4;Lowery;22-May-16;6;Vang;07-Nov-16;3
